TransactionID,ProductID,PurchaseOrderID,MissingID,TransactionDate,UnitPurchasePrice,QuantityOrdered,QuantityReceived,QuantityMissing,Año,Mes,Mes/Año
173,214,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
174,215,0,1,2003-05-29,0.0,119.0,119.0,0,2003,5,5/2003
175,216,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
176,217,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
177,219,0,1,2003-05-29,0.0,180.0,180.0,0,2003,5,5/2003
178,220,0,1,2003-05-29,0.0,239.0,239.0,0,2003,5,5/2003
179,221,0,1,2003-05-29,0.0,46.0,46.0,0,2003,5,5/2003
180,223,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
181,224,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
182,225,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
183,226,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
184,227,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
185,228,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
186,229,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
187,230,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
188,231,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
189,233,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
190,234,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
191,235,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
192,236,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
193,238,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
194,240,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
195,242,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
196,244,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
197,248,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
198,250,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
199,252,0,1,2003-05-29,0.0,300.0,300.0,0,2003,5,5/2003
200,253,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
201,255,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
202,257,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
203,258,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
204,259,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
205,260,0,1,2003-05-29,0.0,179.0,179.0,0,2003,5,5/2003
206,261,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
207,262,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
208,264,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
209,265,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
210,266,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
211,267,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
212,268,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
213,270,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
214,271,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
215,272,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
216,273,0,1,2003-05-29,0.0,65.0,65.0,0,2003,5,5/2003
217,274,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
218,275,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
222,276,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
224,277,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
226,278,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
228,279,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
229,280,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
230,281,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
231,282,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
232,283,0,1,2003-05-29,0.0,30.0,30.0,0,2003,5,5/2003
233,289,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
234,290,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
235,291,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
236,294,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
238,295,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
240,296,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
242,297,0,1,2003-05-29,0.0,120.0,120.0,0,2003,5,5/2003
244,314,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
246,315,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
248,316,0,1,2003-05-29,0.0,60.0,60.0,0,2003,5,5/2003
250,322,0,1,2003-05-29,0.0,20.0,20.0,0,2003,5,5/2003
252,323,0,1,2003-05-29,0.0,20.0,20.0,0,2003,5,5/2003
